2022/03/01 14:34:35 [emerg] 1#1: cannot load certificate "/etc/ssl/private/server.pem": BIO_new_file() failed (SSL: error:02001002:system library:fopen:No such file or directory:fopen('/etc/ssl/private/server.pem','r') error:2006D080:BIO routines:BIO_new_file:no such file)
2022/03/01 14:35:07 [emerg] 1#1: cannot load certificate "/etc/ssl/private/server.pem": BIO_new_file() failed (SSL: error:02001002:system library:fopen:No such file or directory:fopen('/etc/ssl/private/server.pem','r') error:2006D080:BIO routines:BIO_new_file:no such file)
2022/03/01 14:36:11 [notice] 1#1: using the "epoll" event method
2022/03/01 14:36:11 [notice] 1#1: nginx/1.21.5
2022/03/01 14:36:11 [notice] 1#1: built by gcc 10.2.1 20210110 (Debian 10.2.1-6) 
2022/03/01 14:36:11 [notice] 1#1: OS: Linux 5.16.11-arch1-1
2022/03/01 14:36:11 [notice] 1#1: getrlimit(RLIMIT_NOFILE): 1048576:1048576
2022/03/01 14:36:11 [notice] 1#1: start worker processes
2022/03/01 14:36:11 [notice] 1#1: start worker process 30
2022/03/01 14:36:11 [notice] 1#1: start worker process 31
2022/03/01 14:36:11 [notice] 1#1: start worker process 32
2022/03/01 14:36:11 [notice] 1#1: start worker process 33
2022/03/01 14:36:11 [notice] 1#1: start worker process 34
2022/03/01 14:36:11 [notice] 1#1: start worker process 35
2022/03/01 14:36:11 [notice] 1#1: start worker process 36
2022/03/01 14:36:11 [notice] 1#1: start worker process 37
2022/03/01 14:36:11 [notice] 1#1: start worker process 38
2022/03/01 14:36:11 [notice] 1#1: start worker process 39
2022/03/01 14:36:11 [notice] 1#1: start worker process 40
2022/03/01 14:36:11 [notice] 1#1: start worker process 41
2022/03/01 14:36:11 [notice] 1#1: start worker process 42
2022/03/01 14:36:11 [notice] 1#1: start worker process 43
2022/03/01 14:36:11 [notice] 1#1: start worker process 44
2022/03/01 14:36:11 [notice] 1#1: start worker process 45
